,Category,Descript
37,activation,these findings suggest that prx2 plays an important role in preventing accelerated ovarian failure by inhibiting ros induced jnk activation
39,activation,moreover  cd146 expression is positively correlated with the activation levels of stat3 twist and erk pathways
40,activation,here we demonstrate that col11a1 binds to integrin 1 1 and discoidin domain receptor 2 \( ddr2 \) and activates downstream signaling pathways to inhibit cisplatin induced apoptosis in ovarian cancer cells
41,activation,mechanistically  we show that col11a1 activates src pi3k akt nf kb signaling to induce the expression of three inhibitor apoptosis proteins \( iaps \)  including xiap  birc2  and birc3
42,induced,mechanistically  we show that col11a1 activates src pi3k akt nf kb signaling to induce the expression of three inhibitor apoptosis proteins \( iaps \)  including xiap  birc2  and birc3
43,inhibition,mechanistically  we show that col11a1 activates src pi3k akt nf kb signaling to induce the expression of three inhibitor apoptosis proteins \( iaps \)  including xiap  birc2  and birc3
44,induced,furthermore  it induced loss of mitochondrial membrane potential and generation of reactive oxygen species in es2 and ov90 cells
45,promotes,our previous study showed that pfoa is a carcinogen that promotes endometrial cancer cell migration and invasion through activation of erk mtor signaling
46,activation,our previous study showed that pfoa is a carcinogen that promotes endometrial cancer cell migration and invasion through activation of erk mtor signaling
47,regulated,the pathway can regulate cell growth  proliferation  and survival by activating ribosomal kinases
48,binding,mechanistically  ddb2 binds to the aldh1a1 gene promoter  facilitating the enrichment of histone h3k27me3  and competing with the transcription factor c ebp for binding to this region  eventually inhibiting the promoter activity of the aldh1a1 gene
49,inhibition,mechanistically  ddb2 binds to the aldh1a1 gene promoter  facilitating the enrichment of histone h3k27me3  and competing with the transcription factor c ebp for binding to this region  eventually inhibiting the promoter activity of the aldh1a1 gene
50,regulated,peroxisome proliferator activated receptor coactivator 1 \( pgc1 \) mediated mitochondrial biogenesis regulates mitochondrial structural and the functional adaptive response against chemotherapeutic stress  and may be a therapeutic target
51,activation,mechanistically  we show that ras activation is a critical effector of icmt in ovarian cancer cells
52,induced,3 hydroxypyridine derivatives induced apoptosis by hyperexpression of bax and caspase 3  whereas 4 deoxypyridoxine derivative induced cell death partly by reactive oxygen species generation and caspase 3 hyperexpression
53,inhibition,in addition  as a critical target of mir 520d 3p  the activity of spindle and kinetochore associated 2 \( ska2 \) was greatly inhibited by mir 520d 3p  and overexpression of mir 520d 3p decreased the expression of ska2
54,suppressed,ska2 downregulation suppressed cell viability  whereas restoration of ska2 expression significantly reversed the inhibitory effects of mir 520d 3p antitumor activity
55,activation,in cancer patients  the relative number of activated nk cells secreting granzyme b \( gb \) \( cd56 cd107a gb pf \) was significantly decreased  and the proportion of degranulated nk cells \( cd56 cd107a gb pf \) was significantly increased  compared to those observed in healthy donors
56,activation,the proportion of activated peripheral blood nk cells containing cytolytic granules gb and perforin \( pf \) in colorectal cancer patients increased with tumour growth
57,inhibition,the poly \( adp ribose \) polymerase 1 2 inhibitor veliparib is active against tumors deficient in homologous dna damage repair
58,activation,we observed that cisplatin  at a low concentration enhanced the activation of erk1 2 in a2780 cells and increased their accumulation in the s phase  resulting in low cytotoxicity
59,inhibition,the pd98059  pharmacological inhibitor of erk1 2 activation  increased the cytotoxicity of cisplatin applied at a low concentration to a2780 cells \( decreased erk1 2 activity \)  causing shift of cell accumulation from the s to g1 phase
60,activation,the pd98059  pharmacological inhibitor of erk1 2 activation  increased the cytotoxicity of cisplatin applied at a low concentration to a2780 cells \( decreased erk1 2 activity \)  causing shift of cell accumulation from the s to g1 phase
61,binding,a role for rs9666607 of cd44 and rs35605 of abcc1 in rna splicing regulation  rs212091 of abcc1 in mirna binding site activity and rs1058587 of gdf15 in causing an amino acid change was predicted
62,activation,further studies discovered that ck2 deficient oocytes showed enhanced h2ax signals  indicative of accumulative unrepaired dsbs  which activated chk2 dependant p53 and p63 signaling
63,induced,the apoptosis rate of skov3 cells treated with jtc 801 was significantly increased \( p 0 05 \)  and the expression results of relevant apoptosis proteins \( bcl2  bax  active caspase 3 \) indicated the jtc 801 could induce the apoptosis of skov3
64,binding,to mitigate the adverse safety profile  we mutated the fc region of y 443 to reduce the fc binding activity to fc receptor i  which is the primary receptor for phagocytosis on macrophages
65,activation,we first identify the common activated tfs in two ocsc populations integrating the gene expression and tf target interactome and then uncover up stream signaling cascades regulating the activated tfs
66,regulated,we first identify the common activated tfs in two ocsc populations integrating the gene expression and tf target interactome and then uncover up stream signaling cascades regulating the activated tfs
67,activation,in conclusion  the proposed approach can uncover the activated up stream signaling  activated tfs and up regulated target genes that constitute the potential core signaling pathways of ovarian csc
68,activation,in recent year  oxt acts as a growth regulator in many kind of tumor tissues  through the activation of a specific g coupled transmembrane receptor  the oxytocin receptor \( oxtr \)
69,activation,in addition  mapk activation and rnf2 were related to cisplatin resistance of oc
70,activation,accordingly  environmentally relevant dose bpa activated the canonical wnt signaling pathway
71,activation,c to cytosol  activation of caspase 3 and 9  as well as cleaved parp
72,suppressed,furthermore  nuclear factor kappa b \( nf \? b \) pathway was dramatically suppressed by cape through the inhibition of i \? b phosphorylation  nuclear translocation of p65 and nf \? b p65 dna binding activity
73,inhibition,furthermore  nuclear factor kappa b \( nf \? b \) pathway was dramatically suppressed by cape through the inhibition of i \? b phosphorylation  nuclear translocation of p65 and nf \? b p65 dna binding activity
74,binding,furthermore  nuclear factor kappa b \( nf \? b \) pathway was dramatically suppressed by cape through the inhibition of i \? b phosphorylation  nuclear translocation of p65 and nf \? b p65 dna binding activity
75,suppressed,knockdown of endogenous usp28 suppressed the claspin expression and p chk1 activation and cell viability
76,activation,knockdown of endogenous usp28 suppressed the claspin expression and p chk1 activation and cell viability
77,activation,significantly  the clinical studies also confirm the activation of atr and douxa1 in ovarian cancer patients  and elevated douxa1 or atr chk1 pathway correlates with poor prognosis
78,inhibition,interestingly  we observed for the first time that curcumin attenuates rcp induced ovarian cancer cell invasion by blocking stabilization of 1 integrin and consequently inhibiting fak and egfr activation  providing potential biomarkers for ovarian cancer and therapeutic approaches for this deadly disease
79,activation,interestingly  we observed for the first time that curcumin attenuates rcp induced ovarian cancer cell invasion by blocking stabilization of 1 integrin and consequently inhibiting fak and egfr activation  providing potential biomarkers for ovarian cancer and therapeutic approaches for this deadly disease
80,inhibition,a series of sulfonamides with predicted activity were synthesized and tested against 60 human cancer cell lines with growth inhibition percent values
81,inhibition,in this study  we found the following: \( i \) gallic acid \( ga \)  a phenolic compound  potentiated the capacity of ptx to decrease proliferation and to cause g2 m cycle arrest in the ptx resistant a2780ad ovarian cancer cell line \( ii \) ga exerted a pro oxidant action by increasing the production of reactive oxygen species \( ros \)  and co treatment with the antioxidant agent n acetyl l cysteine \( nac \) prevented ga ptx induced cell proliferation inhibition and g2 m phase arrest \( iii \) ptx stimulated erk phosphorylation activation  and co treatment with the mek erk inhibitor pd98049 potentiated the proliferation inhibition and g2 m phase arrest \( iv \) and finally  ga abrogated the ptx induced stimulation of erk phosphorylation  a response that was prevented by co treatment with nac
82,inhibition,in this study  we found the following: \( i \) gallic acid \( ga \)  a phenolic compound  potentiated the capacity of ptx to decrease proliferation and to cause g2 m cycle arrest in the ptx resistant a2780ad ovarian cancer cell line \( ii \) ga exerted a pro oxidant action by increasing the production of reactive oxygen species \( ros \)  and co treatment with the antioxidant agent n acetyl l cysteine \( nac \) prevented ga ptx induced cell proliferation inhibition and g2 m phase arrest \( iii \) ptx stimulated erk phosphorylation activation  and co treatment with the mek erk inhibitor pd98049 potentiated the proliferation inhibition and g2 m phase arrest \( iv \) and finally  ga abrogated the ptx induced stimulation of erk phosphorylation  a response that was prevented by co treatment with nac
83,activation,this longitudinal study of natural variation provides an integrated view of mg development and the importance of increased gr activation in nulliparous ductal growth and alveolobular differentiation
84,induced,euxanthone induced cytoprotective autophagy in ovarian cancer cells  which negatively contributed to its anti tumor activities
85,activation,twist protein is critical to development and is activated in many cancers
86,regulated,pxdn might play a promoter role in the proliferation  invasion and migration of oc cells through regulating the activation of pi3k akt pathway
87,activation,pxdn might play a promoter role in the proliferation  invasion and migration of oc cells through regulating the activation of pi3k akt pathway
88,activation,arid1a depletion transcriptionally activates the expression of multidrug resistance associated protein 2 \( mrp2 \) following chromatin remodeling
89,inhibition,loss of function analysis showed that inhibition of let 7d 3p significantly \( p 0 05 \) impaired cell proliferation and activated apoptosis
90,activation,loss of function analysis showed that inhibition of let 7d 3p significantly \( p 0 05 \) impaired cell proliferation and activated apoptosis
91,inhibition,in summary  our findings showed that inhibition of let 7d 3 activates apoptosis and that its upregulation is associated with a positive response of ovarian cancer patients to carboplatin paclitaxel chemotherapy
92,activation,in summary  our findings showed that inhibition of let 7d 3 activates apoptosis and that its upregulation is associated with a positive response of ovarian cancer patients to carboplatin paclitaxel chemotherapy
93,activation,for mechanistic evaluation  rhil 8  il 8 neutralizing antibody \( il 8 ab \)  signal transducer and activator of transcription 3 \( stat3 \) shrna and stat3 cdna were used
94,activation,a proton sensing gpcr  ovarian cancer g protein coupled receptor 1 \( ogr1 \)  has been reported to be related to acidosis and diseases that cause tissue acidification  but the mechanism of proton induced activation of ogr1 mediated signal transduction in acidic conditions remains unclear
95,binding,the results provide evidence of the binding of these compounds to the target receptors and their interactions with key residues of the active sites of the two proteins  and thus they could represent suitable leads for the development of novel tools for the dissection of er signaling and the development of new pharmacological treatments in hormone sensitive cancers
96,inhibition,syk inactivation by targeted gene knockout or by small molecule inhibition reduced actin polymerization
97,inhibition,the in vitro activity translates well in vivo with 2  showing effective \( 80 \) inhibition of tumor growth in a human ovarian carcinoma a2780 tumor model  while showing considerably lower toxicity than cisplatin  thus validating the new design strategy
98,induced,our data showed that ym155 actively induced cell growth inhibition  cell cycle arrest and apoptosis with downregualtion of survivin in ovarian cancer cells
99,inhibition,our data showed that ym155 actively induced cell growth inhibition  cell cycle arrest and apoptosis with downregualtion of survivin in ovarian cancer cells
100,activation,importantly  akt signaling was activated by nob  which was involved in autophagic degradation and apoptotic cell death
101,activation,progesterone also contributes through paracrine mechanisms involving one member of the tumor necrosis factor \( tnf \) family  the receptor activator of nuclear factor b ligand \( rankl \) and its receptor \( rank \)
102,inhibition,choline uptake inhibition by hemicholinium did not affect the ache activity but not in the erythroid differentiated k562 cell line
103,inhibition,choline uptake inhibition by hemicholinium did increase the ache activity but not in the erythroid differentiated k562 cell line
104,activation,human  mouse  and zebrafish ovarian cancer g protein coupled receptors \( ogr1s \) are activated by both metals and extracellular protons
105,activation,in the present study  we examined whether pig  rat  chicken  and xenopus ogr1 homologs could sense and be activated by protons and metals
106,activation,the results using chimeric receptors of human and zebrafish ogr1s indicate that the specificity of the metal induced activation lies in the extracellular region
107,activation,however  the types of metals that activated the receptor differed among the homologs
108,activation,metformin mediated ampk activation and h3k27me3 inhibition were more robust in cells exposed to low glucose \( 5 5 mm \) compared with those exposed to high glucose \( 25 mm \)
109,inhibition,metformin mediated ampk activation and h3k27me3 inhibition were more robust in cells exposed to low glucose \( 5 5 mm \) compared with those exposed to high glucose \( 25 mm \)
110,induced,the induced overexpression of mir 148a 3p significantly inhibited the relative luciferase activity of the pmirglo c met 3'untranslated region compared with an empty vector
111,inhibition,the induced overexpression of mir 148a 3p significantly inhibited the relative luciferase activity of the pmirglo c met 3'untranslated region compared with an empty vector
112,activation,finally  treatment of cells with tgf 1 led to increased lefty expression and activation of akt  which subsequently induced inactivation of gsk 3  while inhibition of gsk 3 resulted in increased expression of both lefty and snail
113,induced,finally  treatment of cells with tgf 1 led to increased lefty expression and activation of akt  which subsequently induced inactivation of gsk 3  while inhibition of gsk 3 resulted in increased expression of both lefty and snail
114,inhibition,finally  treatment of cells with tgf 1 led to increased lefty expression and activation of akt  which subsequently induced inactivation of gsk 3  while inhibition of gsk 3 resulted in increased expression of both lefty and snail
115,induced,epigallocatechin 3 gallate \( egcg \)  a polyphenolic compound in green tea  has been shown to protect against ovarian hormone deficiency induced overactive bladder \( oab \)
116,induced,the present study investigated oxidative stress induced by mets and bilateral ovariectomy \( ovx \)  and elucidated the mechanism underlying the protective effect of egcg \( 10 umol kg day \) on bladder overactivity
117,induced,this correlated with enhanced growth suppression induced by the inhibition of hdac2 activity in arid1a mutated cells
118,inhibition,this correlated with enhanced growth suppression induced by the inhibition of hdac2 activity in arid1a mutated cells
119,inhibition,avelumab is a human anti pd l1 checkpoint inhibitor with clinical activity in multiple solid tumors
120,activation,additionally  treatment with metformin increased the activation of sirtuin 3 \( sirt3 \)  a mitochondrial deacetylase
121,activation,moreover  treatment with metformin or sirt3 overexpression increased activation of amp activated protein kinase \( ampk \)  a major sensor of cellular energy status
122,activation,fibroblasts conditioned by tumor cells become activated and  as such  are identified as cafs \( cancer associated fibroblasts \)
123,activation,the consequent activation was supported by morphological and molecular changes in treated fibroblasts xtt assays  zymographies  wound healing tests and invasion assays also highlighted higher proliferation  motility  invasiveness and enzyme expression
124,activation,the secretome of these activated fibroblasts was  in turn  able to modulate the responses \( proliferation  motility and invasion \) of fibroblasts  and of tumor and endothelial cells
125,induced,these compounds inactivate the important signaling kinases akt and mtor and thereby induce autophagy
126,activation,phosphorylation of t372 by pka enhanced the interaction between ezh2 and signal transducer and activator of transcription 3 \( stat3 \)  and stat3 binding to pt372 ezh2 reduced cellular levels of pstat3 and downregulated interleukin 6 receptor expression in oc
127,binding,phosphorylation of t372 by pka enhanced the interaction between ezh2 and signal transducer and activator of transcription 3 \( stat3 \)  and stat3 binding to pt372 ezh2 reduced cellular levels of pstat3 and downregulated interleukin 6 receptor expression in oc
128,regulated,these findings demonstrate that pka mediated t372 phosphorylation reduces oncogenic ezh2 activity and reveal a novel role for pt372 in regulating ezh2 in oc and possibly other cancers
129,activation,the literature indicated that aberrant activation of growth factor and wnt signaling pathways is specifically observed in mucinous ovarian cancer
130,regulated,an evolutionarily conserved signaling cascade system including epidermal growth factor ras raf mitogen activated protein kinase kinase extracellular signal regulated protein kinase  phosphoinositide 3 kinase akt and wnt signaling regulates a variety of cellular functions their crosstalk mutually enhances signaling activity and induces chemoresistance
131,induced,an evolutionarily conserved signaling cascade system including epidermal growth factor ras raf mitogen activated protein kinase kinase extracellular signal regulated protein kinase  phosphoinositide 3 kinase akt and wnt signaling regulates a variety of cellular functions their crosstalk mutually enhances signaling activity and induces chemoresistance
132,activation,shikonin activated mitogen activated protein kinases while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment
133,attenuated,shikonin activated mitogen activated protein kinases while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment
134,induced,shikonin activated mitogen activated protein kinases while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment
135,inhibition,in addition to its promising anticancer activity  cpt8 displays remarkable anti metastatic properties by inhibiting the migratory and invasive ability of ovarian cancer cells
136,attenuated,silencing the mmp 7 transcripts using small interfering rna attenuated emt responses  whereas treatment with recombinant active mmp 7 promoted emt by cleaving e cadherin
137,inhibition,in addition  egf receptor \( egfr \) inhibitor treatments regressed endometriotic lesions and decreased mmp 7 activities in a mouse model of endometriosis
138,activation,chromatin immunoprecipitation assay identified egfr mediated erk1 and activator protein 1 signaling for the transcriptional activation of mmp 7 in end1 e6e7 epithelial cells chatterjee  k  jana  s  dasmahapatra  p  swarnakar  s egfr mediated matrix metalloproteinase 7 up regulation promotes epithelial mesenchymal transition via erk1 ap1 axis during ovarian endometriosis progression
139,activation,chromatin immunoprecipitation assay identified egfr mediated erk1 and activator protein 1 signaling for the transcriptional activation of mmp 7 in end1 e6e7 epithelial cells chatterjee  k  jana  s  dasmahapatra  p  swarnakar  s egfr mediated matrix metalloproteinase 7 up regulation promotes epithelial mesenchymal transition via erk1 ap1 axis during ovarian endometriosis progression
140,promotes,chromatin immunoprecipitation assay identified egfr mediated erk1 and activator protein 1 signaling for the transcriptional activation of mmp 7 in end1 e6e7 epithelial cells chatterjee  k  jana  s  dasmahapatra  p  swarnakar  s egfr mediated matrix metalloproteinase 7 up regulation promotes epithelial mesenchymal transition via erk1 ap1 axis during ovarian endometriosis progression
141,activation,few studies have evaluated hedgehog \( hh \) signaling pathway activation in different types of ovarian tumors including benign  borderline and malignant ovarian tumors
142,activation,the results revealed that the hh pathway components smo  pich and gli1 are activated in ovarian epithelial tumors
143,adhesion,moreover  when hpmcs subjected to the malignant ascites were protected against oxidative stress with a spin trap scavenger of reactive oxygen species  they displayed decreased expression of senescence associated galactosidase and their potential to stimulate cancer cell adhesion  proliferation  and migration was significantly diminished
144,activation,in the chemosensitive group  survivin expression was decreased and casp 9 expression was increased  which led to c casp 3 activation and increased tumor cell apoptosis
145,activation,activation of primordial follicles to grow beyond this arrested stage is of particular interest because  once activated  they are subjected to regulatory mechanisms involved in growth  selection  maturation  and ultimately  ovulation or atresia
146,activation,intriguingly  pon2 reduces c jun mediated transcriptional activation of igf 1 gene by decreasing mitochondrial superoxide generation
147,activation,taken together  we report for the first time that pon2 acts as a tumor suppressor in the early stage of oc by reducing igf 1 production and its signaling  indicating pon2 activation might be a fruitful strategy to inhibit early stage ovarian tumor
148,activation,in this context  apoptosis triggered by olaparib is associated with a dose dependent up regulation of death receptors expression and caspase 8 activation
149,activation,olaparib mediated fas up regulation requires nf b activation  as indicated by the increase of p65 phosphorylation and decrease of i b
150,activation,these results indicate that nf b activation and consequent induction of death receptor expression contribute to the anti leukemia effect of olaparib in aml
151,activation,compared to the genomic mutation features of major subtypes of dlbcl  we distinguish that each pol belongs to distinctive subtypes  gcb \( germinal center b cell subtype \) dlbcl and abc \( activated b cell subtype \) dlbcl  respectively
152,induced,our study showed that nc induced apoptosis in skov3 cells by activating the fas signalling pathway  and caspase 8 played an important role in this process
153,activation,moreover  cxcr2 positive cells activated more akt than cxcr2 negative cells followed by enhanced murine double minute \( mdm2 \)
154,activation,taken together  the present study demonstrated that emodin may directly promote foxd3 expression and sequentially activates mir 199a  which in turn suppresses the expression of tgf 2 to reduce cell viability and colony formation of a2780 cells
155,regulated,mir 377 overexpression led to reduced activity of the wnt catenin signaling pathway  and regulated the expression of matrix metalloproteinase 2  and 9  and epithelial mesenchymal transition \( emt \) associated protein
156,activation,analysis of splenocytes harvested from vaccinated mice revealed strong activation of ifn cd8 lymphocytes in response to re stimulation with the sp17 antigen
157,regulated,therefore  the addition of a factor \( s \) that can regulate primordial follicle activation in vitro may be beneficial to the development of culture systems for ovarian tissue from cancer patients
158,activation,therefore  the addition of a factor \( s \) that can regulate primordial follicle activation in vitro may be beneficial to the development of culture systems for ovarian tissue from cancer patients
159,activation,several factors have been observed to inhibit follicle activation  including anti m llerian hormone  stromal derived factor 1 and members of the c jun n terminal kinase pathway
160,inhibition,the silencing of cbs by small interfering rna or inhibition of its catalytic activity by a small molecule inhibitor creates oxidative stress that activates jnk
161,inhibition,the silencing of cbs by small interfering rna or inhibition of its catalytic activity by a small molecule inhibitor creates oxidative stress that activates jnk
162,activation,the silencing of cbs by small interfering rna or inhibition of its catalytic activity by a small molecule inhibitor creates oxidative stress that activates jnk
163,inhibition,supplementation with hydrogen sulfide or glutathione \( the catalytic products of cbs enzymatic activity \)  anti oxidants  or a jnk inhibitor restores mfn2 expression
164,activation,jms 053 also blocked the concomitant increase in rhoa activation and loss of rac1
165,activation,this is the first study of circrna expression patterns in ovarian endometriosis  which suggests that circrnas are candidate factors in the activation of ovarian endometriosis and are promising diagnostic biomarkers and treatment targets
166,inhibition,we have also identified the microrna protein mir 330 5p  a known suppressor of oncogenesis and chemoresistance  as an inhibitor of s100a7 activity
167,activation,here  we provide the first detailed mechanistic insight into the activation of p63  a process that requires phosphorylation by both the priming kinase chk2 and the executioner kinase ck1 in mouse primordial follicles
168,induced,we further describe the structural changes induced by phosphorylation that enable p63 to adopt its active tetrameric conformation and demonstrate that previously discussed phosphorylation by c abl is not involved in this process
169,inhibition,in previous studies  we showed that fgf1 inhibits p53 transcriptional activities  leading to increased cell survival of neuronal or fibroblast cell lines
170,induced,etoposide and cisplatin induced mitochondrial depolarization  cytochrome c release and caspase activation in cov434 cells
171,activation,etoposide and cisplatin induced mitochondrial depolarization  cytochrome c release and caspase activation in cov434 cells
172,induced,further assessments as to the treatment 's ability to induce cell death by apoptosis have been carried out by analyzing annexin v staining and the activation of caspase 3
173,activation,further assessments as to the treatment 's ability to induce cell death by apoptosis have been carried out by analyzing annexin v staining and the activation of caspase 3
174,activation,these findings identify the fak erk activation in cell matrix adhesion in the malignant progression of ovarian cancer and the efficiency of bapn or meki for tumor suppression  providing an impetus for further studies to explore the possibility of new anticancer therapeutic combinations
175,adhesion,these findings identify the fak erk activation in cell matrix adhesion in the malignant progression of ovarian cancer and the efficiency of bapn or meki for tumor suppression  providing an impetus for further studies to explore the possibility of new anticancer therapeutic combinations
176,activation,furthermore  the activation of mtor and its downstream 70 kda ribosomal protein s6 kinase was inhibited by cardamonin
177,inhibition,furthermore  the activation of mtor and its downstream 70 kda ribosomal protein s6 kinase was inhibited by cardamonin
178,activation,these results demonstrated that the combinatorial effects of cardamonin and cisplatin on anti proliferation were enhanced by suppressing the expression of anti apoptotic proteins and activation of mtor in ovarian cancer cells
179,suppressed,downregulation of hotair negatively affected the survival and activity of resistant ovarian cancer cells  and suppressed the expression of hoxa7
180,activation,besides  bag3 silence abolished mir 340 suppression induced activation of pi3k and akt
181,activation,finally  we demonstrated that p21 activated kinase 4 \( pak4 \) was one of the downstream key targets of mir 24 1 5p by luciferase reporter assay and western blotting and our results showed a remarkable decrease in cell proliferation after overexpression of pak4
182,induced,blf treatment increased the expression of cleaved caspase 3 and 7 and induced apoptosis via a erk dependent caspase 9 activation intrinsic apoptotic pathway by up regulating the pro apoptotic proteins \( bad and bax \) and down regulating the anti apoptotic proteins \( bcl xl and bcl 2 \)  which were also in consistency with the results from hoechst 33342 staining and flow cytometry analysis
183,activation,blf treatment increased the expression of cleaved caspase 3 and 7 and induced apoptosis via a erk dependent caspase 9 activation intrinsic apoptotic pathway by up regulating the pro apoptotic proteins \( bad and bax \) and down regulating the anti apoptotic proteins \( bcl xl and bcl 2 \)  which were also in consistency with the results from hoechst 33342 staining and flow cytometry analysis
184,inhibition,in the present study  the antitumor activity of histone deacetylase \( hdac \) inhibitor scriptaid in combination with bortezomib or conventional chemotherapeutics was tested in vitro against representative ovarian cancer cell lines: skov 3  mdah 2774  and ovp 10
185,activation,src tyrosine kinase is frequently overexpressed and activated in late stage  poor prognosis ovarian tumours  and preclinical studies have supported the use of targeted src inhibitors in the treatment of this disease
186,activation,using two complementary strategies a targeted tumour suppressor gene sirna screen  and a phospho receptor tyrosine kinase array  we demonstrate that activation of mapk signalling  via a reduction in nf1 \( neurofibromin \) expression or overexpression of her2 and the insulin receptor  can drive resistance to azd0530
187,activation,knockdown of nf1 in two ovarian cancer cell lines resulted in resistance to azd0530  and was accompanied with activated mek and erk signalling
188,activation,but  that was reversed by the treatment with lithium chloride \( licl \)  by which the canonical wnt catenin pathway could be activated
189,inhibition,our results revealed that knockdown of ccat2 inhibited the expression of catenin and the activity of t cell factor lymphoid enhancer factor  acting as a key transcription factor of wnt signaling pathway
190,activation,in addition  rt qpcr and western blotting were used to determine the expression levels of mir 519a  signal transducer and activator of transcription 3 \( stat3 \)  myeloid cell leukemia 1 \( mcl 1 \) and b cell lymphoma extra large \( bcl xl \) in untransfected and mir 519a mimic transfected skov3 cells
191,inhibition,inhibition of ezh2 activity using a clinically applicable small molecule inhibitor significantly suppresses the growth of carm1 expressing  but not carm1 deficient  ovarian tumors in two xenograft models and improves the survival of mice bearing carm1 expressing ovarian tumors
192,activation,the apoptosis event was triggered through the extrinsic and intrinsic pathways via activation of caspases 8 and 9  respectively
193,activation,moreover  upregulation of aldh1a2 also reduced the activation of signal transducer and activator of transcription 3 \( stat3 \)
194,activation,moreover  upregulation of aldh1a2 also reduced the activation of signal transducer and activator of transcription 3 \( stat3 \)
195,promotes,up regulation of igf1 can transactivate egfr which inturn reduces longevity and promotes tumor development in an organism
196,inhibition,these strategies include mechanistic inhibition of the hypoxia inducible factor signaling pathway and hypoxia activated pro drugs  leading to both anti tumor and anti inflammatory effects
197,activation,these strategies include mechanistic inhibition of the hypoxia inducible factor signaling pathway and hypoxia activated pro drugs  leading to both anti tumor and anti inflammatory effects
198,activation,accumulated studies have provided controversial evidences of prognostic value for signal transducer and activator of transcription proteins 3 \( stat3 \) in cancers
199,inhibition,activation of er with the subtype selective agonist kb9520 resulted in significant inhibition of human ovarian cancer cell growth
200,inhibition,in contrast  loss or inhibition of sirt1 deacetylase activity restored ligand activated er functionality
201,activation,aberrant activation of fgf receptor 2 \( fgfr2 \) signaling through overexpression of fgfr2 and or its ligands  mutations  or receptor amplification has been reported in multiple cancer types  including gastric  colorectal  endometrial  ovarian  breast and lung cancer
202,inhibition,jak stat controls apical pulsatile contractions  and myosin ii activity inhibition affects both pulses and early elongation
203,regulated,cyclic amp \( camp \)  a secondary messenger responsible for various physiological processes regulates cell metabolism by activating protein kinase a \( pka \) and by targeting exchange protein directly activated by camp \( epac \)
204,activation,cyclic amp \( camp \)  a secondary messenger responsible for various physiological processes regulates cell metabolism by activating protein kinase a \( pka \) and by targeting exchange protein directly activated by camp \( epac \)
